Country,Year,Disorder,Sex,AgeGroup,Prevalence_percent,Source
Spain,2020,TEA,Male,0-14,1.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Male,15-24,0.79,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Male,25-64,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Male,65+,0.18,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Female,0-14,0.62,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Female,15-24,0.36,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Female,25-64,0.19,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TEA,Female,65+,0.1,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Male,0-14,7.38,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Male,15-24,4.59,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Male,25-64,2.8,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Male,65+,0.9,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Female,0-14,4.69,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Female,15-24,2.82,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Female,25-64,2.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TDAH,Female,65+,0.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Male,0-14,0.63,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Male,15-24,0.68,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Male,25-64,1.04,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Male,65+,0.88,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Female,0-14,0.57,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Female,15-24,0.83,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Female,25-64,1.32,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,TOC,Female,65+,0.99,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Male,0-14,0.1,Simulated educational dataset based on WHO/IHME global patterns (imputed)
